symptoms,disease
"Gums bleed when brushing, Teeth appear dull or yellow, Teeth feel gritty, Bad breath that won't go away, Plaque buildup on teeth",Calculus
Gums bleed when flossing,Calculus
"Noticeable plaque deposits, Mouth feels sticky, Gum inflammation near plaque, Yellow tartar on teeth, Hard to remove plaque despite brushing",Calculus
"Teeth feel gritty, Plaque buildup on teeth",Calculus
"Teeth appear dull or yellow, Teeth feel gritty, Gum irritation near teeth, Plaque buildup on teeth, Gums bleed when brushing, Bad breath that won't go away",Calculus
Crusty deposits at gumline,Calculus
"Gum irritation near teeth, Gums bleed when brushing",Calculus
Gum inflammation near plaque,Calculus
"Gums bleed when brushing, Teeth appear dull or yellow, Plaque buildup on teeth",Calculus
"Plaque buildup on teeth, Gums bleed when brushing, Bad breath that won't go away",Calculus
Rough feeling teeth,Calculus
"Crusty deposits at gumline, Swollen red gums, Gums bleed when flossing",Calculus
"Teeth feel rough, Gums bleed when flossing, Hard yellowish deposits on teeth, Crusty deposits at gumline",Calculus
"Persistent bad taste in mouth, Teeth feel rough, Gums bleed when flossing, Swollen red gums, Crusty deposits at gumline",Calculus
"Gums bleed when flossing, Crusty deposits at gumline, Swollen red gums",Calculus
"Gum irritation near teeth, Bad breath that won't go away, Teeth appear dull or yellow, Gums bleed when brushing",Calculus
Yellow tartar on teeth,Calculus
"Gum irritation near teeth, Teeth appear dull or yellow",Calculus
"Bad breath that won't go away, Teeth feel gritty, Gums bleed when brushing, Gum irritation near teeth, Plaque buildup on teeth, Teeth appear dull or yellow",Calculus
"Noticeable plaque deposits, Rough feeling teeth, Yellow tartar on teeth, Gum inflammation near plaque, Hard to remove plaque despite brushing, Mouth feels sticky",Calculus
"Hard yellowish deposits on teeth, Teeth feel rough, Gums bleed when flossing",Calculus
"Hard to remove plaque despite brushing, Rough feeling teeth, Mouth feels sticky",Calculus
"Teeth feel rough, Crusty deposits at gumline, Swollen red gums, Hard yellowish deposits on teeth, Persistent bad taste in mouth",Calculus
"Rough feeling teeth, Hard to remove plaque despite brushing, Yellow tartar on teeth, Gum inflammation near plaque",Calculus
"Yellow tartar on teeth, Rough feeling teeth, Noticeable plaque deposits, Gum inflammation near plaque, Hard to remove plaque despite brushing, Mouth feels sticky",Calculus
"Noticeable plaque deposits, Hard to remove plaque despite brushing, Rough feeling teeth, Gum inflammation near plaque",Calculus
"Mouth feels sticky, Hard to remove plaque despite brushing, Yellow tartar on teeth, Noticeable plaque deposits",Calculus
"Mouth feels sticky, Noticeable plaque deposits, Hard to remove plaque despite brushing, Gum inflammation near plaque, Yellow tartar on teeth, Rough feeling teeth",Calculus
"Swollen red gums, Teeth feel rough, Gums bleed when flossing",Calculus
"Crusty deposits at gumline, Swollen red gums",Calculus
"Teeth feel rough, Gums bleed when flossing, Swollen red gums, Crusty deposits at gumline, Hard yellowish deposits on teeth, Persistent bad taste in mouth",Calculus
"Persistent bad taste in mouth, Crusty deposits at gumline, Hard yellowish deposits on teeth, Gums bleed when flossing, Swollen red gums, Teeth feel rough",Calculus
Gum irritation near teeth,Calculus
"Teeth feel rough, Gums bleed when flossing, Swollen red gums, Crusty deposits at gumline, Hard yellowish deposits on teeth",Calculus
"Crusty deposits at gumline, Teeth feel rough, Swollen red gums, Gums bleed when flossing, Persistent bad taste in mouth, Hard yellowish deposits on teeth",Calculus
"Noticeable plaque deposits, Hard to remove plaque despite brushing",Calculus
"Plaque buildup on teeth, Teeth appear dull or yellow, Bad breath that won't go away, Gums bleed when brushing, Teeth feel gritty",Calculus
"Hard yellowish deposits on teeth, Crusty deposits at gumline",Calculus
"Hard yellowish deposits on teeth, Persistent bad taste in mouth, Gums bleed when flossing",Calculus
"Crusty deposits at gumline, Swollen red gums, Teeth feel rough",Calculus
"Noticeable plaque deposits, Yellow tartar on teeth, Rough feeling teeth, Mouth feels sticky",Calculus
"Gums bleed when brushing, Gum irritation near teeth, Bad breath that won't go away, Teeth appear dull or yellow, Plaque buildup on teeth",Calculus
"Teeth feel gritty, Gums bleed when brushing, Teeth appear dull or yellow, Plaque buildup on teeth, Gum irritation near teeth, Bad breath that won't go away",Calculus
"Swollen red gums, Persistent bad taste in mouth",Calculus
"Hard yellowish deposits on teeth, Crusty deposits at gumline, Teeth feel rough",Calculus
Teeth appear dull or yellow,Calculus
"Mouth feels sticky, Gum inflammation near plaque, Yellow tartar on teeth, Hard to remove plaque despite brushing, Rough feeling teeth, Noticeable plaque deposits",Calculus
"Gum inflammation near plaque, Yellow tartar on teeth, Rough feeling teeth, Hard to remove plaque despite brushing",Calculus
"Bad breath that won't go away, Gums bleed when brushing, Plaque buildup on teeth, Gum irritation near teeth, Teeth feel gritty, Teeth appear dull or yellow",Calculus
"Mouth feels sticky, Rough feeling teeth, Noticeable plaque deposits, Gum inflammation near plaque",Calculus
"Teeth appear dull or yellow, Teeth feel gritty, Bad breath that won't go away, Plaque buildup on teeth",Calculus
"Hard to remove plaque despite brushing, Mouth feels sticky, Rough feeling teeth, Noticeable plaque deposits",Calculus
"Plaque buildup on teeth, Teeth feel gritty",Calculus
Crusty deposits at gumline,Calculus
"Noticeable plaque deposits, Mouth feels sticky, Yellow tartar on teeth, Gum inflammation near plaque",Calculus
"Gum irritation near teeth, Teeth feel gritty, Gums bleed when brushing, Plaque buildup on teeth",Calculus
"Crusty deposits at gumline, Hard yellowish deposits on teeth, Persistent bad taste in mouth",Calculus
"Gums bleed when flossing, Hard yellowish deposits on teeth, Swollen red gums, Teeth feel rough, Crusty deposits at gumline",Calculus
"Persistent bad taste in mouth, Crusty deposits at gumline, Swollen red gums",Calculus
"Teeth appear dull or yellow, Plaque buildup on teeth, Bad breath that won't go away, Gums bleed when brushing, Teeth feel gritty",Calculus
"Yellow tartar on teeth, Noticeable plaque deposits, Hard to remove plaque despite brushing, Mouth feels sticky",Calculus
"Gums bleed when flossing, Persistent bad taste in mouth, Hard yellowish deposits on teeth, Swollen red gums, Teeth feel rough",Calculus
Teeth feel rough,Calculus
"Persistent bad taste in mouth, Hard yellowish deposits on teeth",Calculus
"Plaque buildup on teeth, Gums bleed when brushing, Teeth feel gritty, Teeth appear dull or yellow, Gum irritation near teeth, Bad breath that won't go away",Calculus
"Teeth feel rough, Gums bleed when flossing",Calculus
Plaque buildup on teeth,Calculus
"Mouth feels sticky, Noticeable plaque deposits",Calculus
"Teeth feel rough, Persistent bad taste in mouth, Hard yellowish deposits on teeth, Swollen red gums, Crusty deposits at gumline, Gums bleed when flossing",Calculus
"Gum irritation near teeth, Bad breath that won't go away, Teeth appear dull or yellow, Teeth feel gritty, Plaque buildup on teeth, Gums bleed when brushing",Calculus
"Noticeable plaque deposits, Mouth feels sticky",Calculus
"Swollen red gums, Teeth feel rough, Crusty deposits at gumline, Gums bleed when flossing",Calculus
"Gum inflammation near plaque, Hard to remove plaque despite brushing, Rough feeling teeth, Yellow tartar on teeth, Noticeable plaque deposits, Mouth feels sticky",Calculus
"Mouth feels sticky, Rough feeling teeth, Gum inflammation near plaque",Calculus
"Plaque buildup on teeth, Bad breath that won't go away, Gum irritation near teeth",Calculus
"Bad breath that won't go away, Teeth feel gritty, Gums bleed when brushing, Gum irritation near teeth, Teeth appear dull or yellow",Calculus
"Yellow tartar on teeth, Gum inflammation near plaque, Noticeable plaque deposits, Mouth feels sticky",Calculus
"Bad breath that won't go away, Teeth appear dull or yellow, Teeth feel gritty, Plaque buildup on teeth, Gum irritation near teeth",Calculus
"Crusty deposits at gumline, Gums bleed when flossing, Persistent bad taste in mouth",Calculus
"Bad breath that won't go away, Gums bleed when brushing, Teeth feel gritty",Calculus
"Gum inflammation near plaque, Yellow tartar on teeth, Mouth feels sticky",Calculus
"Hard yellowish deposits on teeth, Persistent bad taste in mouth",Calculus
Gums bleed when flossing,Calculus
"Gums bleed when brushing, Teeth feel gritty, Teeth appear dull or yellow, Plaque buildup on teeth, Bad breath that won't go away, Gum irritation near teeth",Calculus
"Teeth feel gritty, Gum irritation near teeth, Plaque buildup on teeth, Gums bleed when brushing, Bad breath that won't go away, Teeth appear dull or yellow",Calculus
Hard yellowish deposits on teeth,Calculus
"Hard to remove plaque despite brushing, Mouth feels sticky",Calculus
"Hard yellowish deposits on teeth, Persistent bad taste in mouth, Teeth feel rough, Gums bleed when flossing, Crusty deposits at gumline, Swollen red gums",Calculus
"Hard yellowish deposits on teeth, Swollen red gums, Crusty deposits at gumline, Gums bleed when flossing, Teeth feel rough, Persistent bad taste in mouth",Calculus
"Teeth feel gritty, Plaque buildup on teeth",Calculus
Gums bleed when brushing,Calculus
"Hard to remove plaque despite brushing, Noticeable plaque deposits",Calculus
"Gums bleed when brushing, Teeth appear dull or yellow, Teeth feel gritty, Plaque buildup on teeth, Bad breath that won't go away, Gum irritation near teeth",Calculus
"Rough feeling teeth, Yellow tartar on teeth, Hard to remove plaque despite brushing, Gum inflammation near plaque",Calculus
"Hard to remove plaque despite brushing, Rough feeling teeth, Mouth feels sticky",Calculus
"Gums bleed when brushing, Bad breath that won't go away",Calculus
"Crusty deposits at gumline, Hard yellowish deposits on teeth, Teeth feel rough",Calculus
"Crusty deposits at gumline, Teeth feel rough, Swollen red gums, Persistent bad taste in mouth",Calculus
"Mouth feels sticky, Noticeable plaque deposits, Yellow tartar on teeth",Calculus
"Gum inflammation near plaque, Noticeable plaque deposits, Rough feeling teeth, Yellow tartar on teeth",Calculus
"Gums bleed when flossing, Crusty deposits at gumline",Calculus
"Swollen red gums, Crusty deposits at gumline, Hard yellowish deposits on teeth, Persistent bad taste in mouth, Teeth feel rough",Calculus
"Teeth feel rough, Persistent bad taste in mouth",Calculus
"Gum irritation near teeth, Gums bleed when brushing, Plaque buildup on teeth",Calculus
Mouth feels sticky,Calculus
"Gums bleed when flossing, Persistent bad taste in mouth, Hard yellowish deposits on teeth, Crusty deposits at gumline, Swollen red gums",Calculus
"Rough feeling teeth, Noticeable plaque deposits, Yellow tartar on teeth, Gum inflammation near plaque, Hard to remove plaque despite brushing, Mouth feels sticky",Calculus
"Rough feeling teeth, Noticeable plaque deposits, Gum inflammation near plaque, Yellow tartar on teeth, Mouth feels sticky",Calculus
"Swollen red gums, Hard yellowish deposits on teeth, Gums bleed when flossing",Calculus
"Gum irritation near teeth, Gums bleed when brushing, Plaque buildup on teeth",Calculus
"Gums bleed when brushing, Bad breath that won't go away, Teeth appear dull or yellow, Plaque buildup on teeth, Teeth feel gritty, Gum irritation near teeth",Calculus
"Rough feeling teeth, Hard to remove plaque despite brushing, Gum inflammation near plaque, Yellow tartar on teeth, Mouth feels sticky, Noticeable plaque deposits",Calculus
"Teeth feel gritty, Teeth appear dull or yellow, Plaque buildup on teeth, Gum irritation near teeth, Gums bleed when brushing",Calculus
"Noticeable plaque deposits, Gum inflammation near plaque, Hard to remove plaque despite brushing, Mouth feels sticky, Yellow tartar on teeth, Rough feeling teeth",Calculus
"Crusty deposits at gumline, Gums bleed when flossing, Swollen red gums, Hard yellowish deposits on teeth, Teeth feel rough",Calculus
"Hard to remove plaque despite brushing, Noticeable plaque deposits, Rough feeling teeth, Mouth feels sticky, Yellow tartar on teeth, Gum inflammation near plaque",Calculus
"Bad breath that won't go away, Gums bleed when brushing, Plaque buildup on teeth",Calculus
